,Arsenal,Man City,Man United,Aston Villa,Liverpool,Chelsea,Brentford,Bournemouth,Brighton,Everton,Sunderland,Fulham,Crystal Palace,Newcastle,Leeds,Nott'm Forest,West Ham,Tottenham,Burnley,Wolves
title_prob,0.87225,0.1277,0.0,5e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
top4_prob,1.0,0.99995,0.87655,0.8209,0.2977,0.001,0.0013,0.00185,0.00045,0.0001,0.00015,5e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
relegation_prob,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5e-05,0.0,0.00155,0.03485,0.3326,0.63095,1.0,1.0
expected_points,79.0607,74.94735,65.9253,65.38765,62.40155,54.69355,54.3445,55.50255,54.69215,53.59395,53.69725,52.16885,47.84825,48.16105,45.7151,41.47155,38.0008,36.92285,25.34715,22.6991
position_distribution,"[0.87225, 0.12745, 0.0003, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.1277, 0.85545, 0.0155, 0.0013, 5e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.00705, 0.5351, 0.3344, 0.1174, 0.0052, 0.0008, 5e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[5e-05, 0.0098, 0.35285, 0.4582, 0.1718, 0.00675, 0.00055, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.00025, 0.09605, 0.2014, 0.6066, 0.0692, 0.0193, 0.00535, 0.0016, 0.0001, 0.00015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0001, 0.0009, 0.02415, 0.19295, 0.17855, 0.1609, 0.13995, 0.1227, 0.09795, 0.0594, 0.01915, 0.0031, 0.0002, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 5e-05, 0.00125, 0.0185, 0.13685, 0.1599, 0.1662, 0.16235, 0.14235, 0.1132, 0.0677, 0.0257, 0.0054, 0.00055, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 5e-05, 0.0018, 0.0297, 0.24275, 0.1925, 0.1605, 0.13105, 0.10155, 0.0764, 0.04485, 0.01475, 0.00375, 0.00035, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.00045, 0.01605, 0.15525, 0.16745, 0.16155, 0.15125, 0.13575, 0.1058, 0.07215, 0.02575, 0.0075, 0.00105, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0001, 0.00645, 0.076, 0.1123, 0.1328, 0.1467, 0.1597, 0.15615, 0.13715, 0.0528, 0.01775, 0.0021, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.00015, 0.00725, 0.08505, 0.11215, 0.128, 0.1374, 0.15405, 0.1662, 0.1437, 0.05035, 0.0132, 0.00245, 5e-05, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 5e-05, 0.00205, 0.02845, 0.05195, 0.07215, 0.10345, 0.1303, 0.1842, 0.24645, 0.1186, 0.05115, 0.01085, 0.00035, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.00055, 0.0025, 0.00615, 0.01135, 0.02355, 0.04375, 0.09425, 0.30115, 0.3159, 0.18195, 0.0185, 0.00035, 5e-05, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.00205, 0.00585, 0.01325, 0.0253, 0.0458, 0.1059, 0.2821, 0.33345, 0.15955, 0.02485, 0.0009, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0005, 0.00165, 0.0046, 0.0101, 0.02765, 0.10075, 0.2187, 0.5134, 0.1055, 0.0156, 0.00155, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5e-05, 0.0003, 0.0008, 0.0082, 0.0264, 0.1035, 0.65455, 0.17135, 0.03485, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0007, 0.00295, 0.017, 0.12785, 0.5189, 0.33255, 5e-05, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00075, 0.00705, 0.06835, 0.2929, 0.6304, 0.00055, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00045, 0.7693, 0.23025]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00015, 0.2301, 0.76975]"
