Team,EloRating,Rank 
Arsenal,1607.3,1
Man City,1595.2,2
Man United,1565.3,3
Aston Villa,1553.0,4
Liverpool,1545.0,5
Bournemouth,1531.4,6
Brighton,1523.4,7
Brentford,1515.3,8
Sunderland,1514.8,9
Chelsea,1506.8,10
Fulham,1506.7,11
Everton,1502.3,12
Crystal Palace,1493.1,13
Leeds,1479.6,14
Newcastle,1475.1,15
Nott'm Forest,1442.9,16
West Ham,1438.4,17
Tottenham,1437.9,18
Burnley,1390.9,19
Wolves,1375.6,20
