Team,EloRating
Bournemouth,1516.2
Fulham,1509.2
Brentford,1518.0
Newcastle,1487.2
Nott'm Forest,1439.7
Chelsea,1521.7
West Ham,1433.1
Crystal Palace,1487.5
Arsenal,1620.8
Liverpool,1533.6
Man City,1583.1
Sunderland,1514.8
Everton,1509.6
Man United,1565.4
Leeds,1467.4
Brighton,1516.3
Aston Villa,1548.2
Burnley,1402.5
Tottenham,1443.0
Wolves,1382.7
